frame,timeSec,segIndex,t,x,y,z,frameDurMs,activeCount,sumIntensity,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31
32,0.4800,16,0.000,1.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.4950,16,0.844,1.422,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,2,19,16,1,6,78,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.5100,17,0.000,1.500,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,1,18,18,1,4,71,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.5250,17,0.844,1.922,0.000,0.000,20,7,189,0,0,0,0,0,0,0,0,0,8,25,5,1,31,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.5400,18,0.000,2.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.5550,18,0.844,2.422,0.000,0.000,20,6,184,0,0,0,0,0,0,0,0,0,2,19,16,0,6,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.5700,19,0.000,2.500,0.000,0.000,20,6,183,0,0,0,0,0,0,0,0,0,1,18,18,0,4,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.5850,19,0.844,2.922,0.000,0.000,20,5,164,0,0,0,0,0,0,0,0,0,0,8,25,0,1,31,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.6000,20,0.000,3.000,0.000,0.000,20,4,156,0,0,0,0,0,0,0,0,0,0,6,25,0,0,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.6150,20,0.844,3.000,0.000,0.844,20,8,156,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,16,0,0,0,0,0,0,0,0,0,0,5,21,0,0,21,84
42,0.6300,21,0.000,3.000,0.000,1.000,20,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,25,100
43,0.6450,21,0.844,2.578,0.000,1.000,20,6,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19,0,3,63,78
44,0.6600,22,0.000,2.500,0.000,1.000,20,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,0,4,71,71
45,0.6750,22,0.844,2.078,0.000,1.000,20,6,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,8,0,20,99,31
46,0.6900,23,0.000,2.000,0.000,1.000,20,6,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25
47,0.7050,23,0.844,1.578,0.000,1.000,20,8,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19,2,3,63,78,6
48,0.7200,24,0.000,1.500,0.000,1.000,20,8,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,1,4,71,71,4
49,0.7350,24,0.844,1.078,0.000,1.000,20,7,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,8,0,20,99,31,1
50,0.7500,25,0.000,1.000,0.000,1.000,20,6,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0
51,0.7650,25,0.844,0.578,0.000,1.000,20,6,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,2,0,63,78,6,0
52,0.7800,26,0.000,0.500,0.000,1.000,20,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,71,71,4,0
53,0.7950,26,0.844,0.078,0.000,1.000,20,5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,99,31,1,0
54,0.8100,27,0.000,0.000,0.000,1.000,20,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,100,25,0,0
55,0.8250,27,0.844,0.000,0.000,0.156,20,8,156,0,0,0,0,0,0,0,0,21,5,0,0,84,21,0,0,0,0,0,0,0,0,0,0,4,1,0,0,16,4,0,0
56,0.8400,28,0.000,0.000,0.000,0.000,20,4,156,0,0,0,0,0,0,0,0,25,6,0,0,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.8550,28,0.844,0.422,0.000,0.000,20,6,180,0,0,0,0,0,0,0,0,19,16,1,0,78,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.8700,29,0.000,0.500,0.000,0.000,20,6,183,0,0,0,0,0,0,0,0,18,18,1,0,71,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.8850,29,0.844,0.922,0.000,0.000,20,6,188,0,0,0,0,0,0,0,0,8,25,5,0,31,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.9000,30,0.000,1.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.9150,30,0.844,1.422,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,2,19,16,1,6,78,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.9300,31,0.000,1.500,0.000,0.000,20,8,188,0,0,0,0,0,0,0,0,1,18,18,1,4,71,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.9450,31,0.844,1.922,0.000,0.000,20,7,189,0,0,0,0,0,0,0,0,0,8,25,5,1,31,99,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.9600,32,0.000,2.000,0.000,0.000,20,6,187,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.9750,32,0.844,2.422,0.000,0.000,20,6,184,0,0,0,0,0,0,0,0,0,2,19,16,0,6,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.9900,33,0.000,2.500,0.000,0.000,20,6,183,0,0,0,0,0,0,0,0,0,1,18,18,0,4,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1.0050,33,0.844,2.922,0.000,0.000,20,5,164,0,0,0,0,0,0,0,0,0,0,8,25,0,1,31,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1.0200,34,0.000,3.000,0.000,0.000,20,4,156,0,0,0,0,0,0,0,0,0,0,6,25,0,0,25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1.0350,34,0.844,3.000,0.000,0.844,20,8,156,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,16,0,0,0,0,0,0,0,0,0,0,5,21,0,0,21,84
70,1.0500,35,0.000,3.000,0.000,1.000,20,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,25,100
71,1.0650,35,0.844,2.578,0.000,1.000,20,6,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19,0,3,63,78
72,1.0800,36,0.000,2.500,0.000,1.000,20,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,0,4,71,71
73,1.0950,36,0.844,2.078,0.000,1.000,20,6,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,8,0,20,99,31
74,1.1100,37,0.000,2.000,0.000,1.000,20,6,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25
